# From MPC 26543
P/2006 R1 (Siding Spring),e,160.0709,218.8080,249.4228,5.626112,0.0738570,0.70511503,227.2947,02/05.0/2015,2000,g 16.0,4.0
# From MPC 69905
P/2006 S1 (Christensen),e,11.9129,211.6156,130.3228,3.508429,0.1499806,0.61265391,103.2839,02/05.0/2015,2000,g 17.5,4.0
# From MPC 92270
C/2006 S3 (LONEOS),h,04/15.0335/2012,166.0248,38.3592,140.0042,1.001850,5.128503,2000,2.0,4.0
# From MPC 75707
P/2006 S4 (Christensen),e,39.5712,36.1218,305.9034,6.264025,0.0628672,0.50572374,199.8540,02/05.0/2015,2000,g 11.0,4.0
# From MPC 60465
C/2006 S5 (Hill),e,10.1578,281.3066,182.3307,98.21740,0.0010126,0.97321392,0.0000,12/10.5989/2007,2000,g  8.0,4.0
# From MPC 66204
C/2006 U6 (Spacewatch),e,84.7321,180.0056,276.5380,3170,0.0000055,0.99921323,0.0000,06/05.4391/2008,2000,g  8.0,4.0
# From MPC 62580
C/2006 V1 (Catalina),e,31.4723,335.6031,252.9443,151.3899,0.0005291,0.98247617,0.0000,11/24.0992/2007,2000,g  8.0,4.0
# From MPC 75707
P/2006 W1 (Gibbs),e,18.5326,152.7556,231.7460,5.797292,0.0706100,0.70597012,228.4515,02/05.0/2015,2000,g 12.0,4.0
# From MPC 82313
C/2006 W3 (Christensen),h,07/07.4767/2009,127.0924,113.6627,133.4444,1.000080,3.113931,2000,5.0,4.0
# From MPC 75707
P/2007 A2 (Christensen),e,26.5584,300.9922,186.8605,6.306942,0.0622266,0.55925811,182.6554,02/05.0/2015,2000,g 13.5,4.0
# From MPC 59319
P/2007 B1 (Christensen),e,12.3865,77.7759,46.8043,5.807082,0.0704315,0.58216672,206.5344,02/05.0/2015,2000,g 13.5,4.0
# From MPC 66700
C/2007 B2 (Skiff),e,27.5787,14.7124,206.0468,540.1744,0.0000785,0.99451291,0.0000,08/21.4040/2008,2000,g  6.0,4.0
# From MPC 75707
P/2007 C2 (Catalina),e,8.7046,275.8292,179.5481,7.021598,0.0529725,0.46384363,143.4220,02/05.0/2015,2000,g 10.0,4.0
# From MPC 84315
C/2007 D1 (LINEAR),e,41.4894,170.9631,340.0886,2170,0.0000097,0.99595002,0.0000,06/16.4649/2007,2000,g  3.5,4.0
# From MPC 66464
